기관구분,자치구,행정동,행정동코드,시설명,도로명주소,위도,경도
의원,양천구,신정4동,11150720.0,서울메디탑치과의원,"서울특별시 양천구 오목로 147, 2층 201?202?206호 (신정동, 제이클래스목동주상복합)",37.525036680286405,126.8536258120624
의원,양천구,신정4동,11150720.0,양천에이스내과의원,"서울특별시 양천구 신월로 327, 5층 (신정동)",37.52188820491399,126.85743170121978
의원,양천구,신정3동,11150660.0,늘솜성모이비인후과의원,"서울특별시 양천구 신정로 312, 뉴프라자 5층 503, 504호 (신정동)",37.5132375482368,126.85553957629456
의원,양천구,신정4동,11150720.0,목동신정형외과의원,"서울특별시 양천구 신정중앙로 103, 5층 (신정동)",37.52650156161528,126.86336776036302
의원,양천구,신정3동,11150660.0,더건강한365의원,"서울특별시 양천구 신월로 280, 1층 일부, 2층 (신정동)",37.5211528,126.8518635
의원,양천구,목1동,11150510.0,서울리더스비뇨의학과의원,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 2층 201,202,203호 (목동)",37.52489551443912,126.87580366124956
의원,양천구,신월6동,11150620.0,양천경희한의원,"서울특별시 양천구 신월로 180, 2층 (신월동)",37.51878976935527,126.84335818274054
의원,양천구,목1동,11150510.0,연세꿈꾸는치과의원,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 4층 411,418,419,420호 (목동)",37.52489551443912,126.87580366124956
의원,양천구,목1동,11150510.0,목동더편한신경과의원,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 4층 401,412,413호 (목동)",37.52489551443912,126.87580366124956
의원,양천구,신정3동,11150660.0,서울프로치과의원,"서울특별시 양천구 신월로 282, 3층 (신정동)",37.52104268205928,126.85213804581616
의원,양천구,신정1동,11150640.0,리버스치과의원,"서울특별시 양천구 신월로 332, 3층 (신정동)",37.52147646992027,126.8577582294204
의원,양천구,신월2동,11150580.0,서울지디치과의원,"서울특별시 양천구 중앙로 291, 2층 (신월동)",37.52217446670007,126.85163957581024
