관리번호,설치목적구분,카메라대수,도로명주소,위도,경도,행정동코드,행정동,자치구,보정구분,보정거리_m
202630100000800991,생활방범,5,서울특별시 중구 황학동 1596,37.5693,127.0233,11020670.0,황학동,중구,원본정상,
202630100000800992,생활방범,5,서울특별시 중구 퇴계로83길10-4,37.56605,127.01862,11020670.0,황학동,중구,원본정상,
202630100000800993,생활방범,2,서울특별시 중구 황학동 372,37.56619,127.02016,11020670.0,황학동,중구,원본정상,
202630100000800994,생활방범,4,서울특별시 중구 청계천로 360,37.5701,127.01775,11020670.0,황학동,중구,원본정상,
202630100000800995,생활방범,5,서울특별시 중구 마장로 82-4,37.56804,127.01889,11020670.0,황학동,중구,원본정상,
202630100000800996,생활방범,5,서울특별시 중구 황학동 656,37.56665,127.021,11020670.0,황학동,중구,원본정상,
202630100000800997,생활방범,2,서울특별시 중구 황학동 606,37.56667,127.021,11020670.0,황학동,중구,원본정상,
202630100000800998,생활방범,4,서울특별시 중구 황학동 377,37.56654,127.01959,11020670.0,황학동,중구,원본정상,
202630100000800999,생활방범,5,서울특별시 중구 황학동 380,37.56623,127.0195,11020670.0,황학동,중구,원본정상,
202630100000801000,생활방범,3,서울특별시 중구 통일로 30,37.55871,126.97448,11020540.0,회현동,중구,원본정상,
202630100000801001,생활방범,3,서울특별시 중구 세종대로 3,37.5574,126.97401,11020540.0,회현동,중구,원본정상,
202630100000801002,생활방범,3,서울특별시 중구 봉래동2가 139,37.55524,126.97103,11020540.0,회현동,중구,원본정상,
202630100000801003,생활방범,3,서울특별시 중구 통일로 1,37.55458,126.97116,11020540.0,회현동,중구,원본정상,
202630100000801004,생활방범,5,서울특별시 중구 을지로200,37.56381,126.99757,11020590.0,광희동,중구,원본정상,
202630100000801005,생활방범,3,서울특별시 중구 다산로88,37.55502,127.01138,11020710.0,약수동,중구,원본정상,
202630100000801006,생활방범,4,서울특별시 중구 다산로210,37.56449,127.01548,11020690.0,신당동,중구,원본정상,
202630100000801007,생활방범,5,서울특별시 중구 다산로 129-1,37.55823,127.01423,11020720.0,청구동,중구,원본정상,
